Reject Rate, RMSE Accepted      , RMSE Rejected      , Improvement
0.0        , 0.3219629763094432 ,                    , 0.0
0.01       , 0.3155995775057607 , 0.7108513012887151 , -1.9764380602465845
0.02       , 0.3096063520381027 , 0.697179559229197  , -3.8379022373878047
0.03       , 0.30434887886142586, 0.6784974883705512 , -5.470845638812887
0.04       , 0.29729184552607757, 0.6858027113242183 , -7.662722921176458
0.05       , 0.29851899088921346, 0.6164778923626781 , -7.281578052532783
0.06       , 0.3001001424574573 , 0.562785754694568  , -6.790480726260033
0.07       , 0.3017069482997197 , 0.521056224651544  , -6.2914153179697045
0.08       , 0.30333997383208   , 0.48741960321092775, -5.784206212413806
0.09       , 0.30499995662864293, 0.4595581475658462 , -5.268624322970872
0.1        , 0.30668840122890706, 0.43598348834017003, -4.744202347618856
0.11       , 0.3084053365467058 , 0.41570127146460434, -4.210931305873798
0.12       , 0.3101514539896306 , 0.3980107267354628 , -3.668596450189466
0.13       , 0.31192705405886406, 0.3824060908067494 , -3.117104446485634
0.14       , 0.3137337118679857 , 0.3685042549310057 , -2.5559660728034244
